#Código de Concepto,Descripción,Inicial,,Modific.,,Actual,DR Netos
11200,DE NATURALEZA  RUSTICA,185018.99,,0.0,,185018.99,277860.24
11300,DE NATURALEZA URBANA,23284652.72,,0.0,,23284652.72,22404616.02
11500,IMPUESTO SOBRE VEHÍCULOS DE TRACCIÓN MECANICA,1747699.63,,0.0,,1747699.63,2038167.84
11600,IMPSTO.S/INCRMTO.VALOR TERRENOS NATURALEZA URBANA,4437355.69,,0.0,,4437355.69,6471370.54
13000,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,2431842.17,,0.0,,2431842.17,3042737.22
29000,"IMPUESTO S/ INSTALACIONES, CONSTRUCCIONES Y OBRAS",2154170.55,,0.0,,2154170.55,3078221.01
29100,COTOS DE CAZA Y PESCA,176.46,,0.0,,176.46,176.46
30000,SERVICIO DE ABASTECIMIENTO  DE AGUA,15266432.79,,0.0,,15266432.79,16500652.51
30100,SERVICIO DE ALCANTARILLADO,4398513.02,,0.0,,4398513.02,4700094.05
30200,SERVICIO DE RECOGIDA DE BASURA,6444735.1,,0.0,,6444735.1,7448405.18
30500,CEMENTERIOS,26367.21,,0.0,,26367.21,30761.15
32100,LICENCIAS URBANÍSTICAS,186596.92,,0.0,,186596.92,321029.77
32200,CÉDULA DE HABITABILIDAD Y PRIMERA OCUPACIÓN,27164.79,,0.0,,27164.79,42428.83
32500,TASAS POR EXPEDICIÓN DE DOCUMENTOS,106016.24,,0.0,,106016.24,104764.52
32600,RETIRADA DE VEHÍCULOS DE LA VÍA PÚBLICA,361095.53,,0.0,,361095.53,385287.05
32700,LICENCIA DE APERTURA DE ESTABLECIMIENTOS,236489.29,,0.0,,236489.29,316989.67
32900,OTRAS TASAS POR LA REALIZACIÓN DE ACTIVIDADES DE COMPETENCIA LOCAL,0.0,,0.0,,0.0,30.05
32901,"PLACAS, PATENTES, DISTINTIVOS Y OTROS",5154.7,,0.0,,5154.7,4747.86
32902,LICENCIA DE AUTO TAXIS Y VEHICULOS DE ALQUILER,3719.76,,0.0,,3719.76,1863.14
32903,TENENCIA Y CIRCULACIÓN DE ANIMALES,1000.0,,0.0,,1000.0,865.85
33100,ENTRADA VEHÍCULOS EDIFICIOS Y RESERVA APARCAMIENTO,274923.44,,0.0,,274923.44,324685.66
33200,TASAS UTIL. PRIV. Y APROV. ESP.EMP.EXP.SERV. SUMT.,842682.57,,0.0,,842682.57,795099.15
33400,CALICATAS Y ZANJAS EN LA VIA PUBLICA,3885.5,,0.0,,3885.5,13293.08
33500,OCUPACIÓN DE LA VÍA PÚBLICA CON MESAS Y SILLAS,53718.2,,0.0,,53718.2,48008.7
33800,COMPENSACIÓN TELEFÓNICA DE ESPAÑA S.A.,184140.0,,0.0,,184140.0,205351.34
33901,OTRAS TASAS POR UTILIZA.PRIVATIVA DOMINIO PÚBLICO,59688.98,,0.0,,59688.98,68754.59
33902,TASA PUESTO MERCADO DEL AGRICULTOR,40920.0,,0.0,,40920.0,40326.12
33903,TASAS OCUPACIÓN VÍA PUBLICA CON KIOSKO FIESTA,21483.0,,0.0,,21483.0,22168.29
33904,OTRAS TASAS OCUPACIÓN VÍA PUBLICA,46507.5,,0.0,,46507.5,91485.85
34100,CENTRO DE DISCAPACITADOS,43490.74,,0.0,,43490.74,47423.2
34101,RESIDENCIA DE MAYORES Y CENTRO DE DÍA.,118243.05,,0.0,,118243.05,112061.31
34200,ESCUELA INFANTIL,157277.38,,0.0,,157277.38,174820.77
34201,UNIVERSIDAD DE VERANO,10000.0,,0.0,,10000.0,6130.0
34202,UNIVERSIDAD POPULAR,20414.99,,0.0,,20414.99,19056.75
34203,ESCUELA DE SEGURIDAD,0.0,,0.0,,0.0,260.0
34204,INSTALACIONES CULTURALES,600.0,,0.0,,600.0,600.0
34206,ESCUELA DE MÚSICA,112530.0,,0.0,,112530.0,102092.5
34300,CAMPAÑA DEPORTIVA,179025.0,,0.0,,179025.0,215558.5
34301,INSTALACIONES DEPORTIVAS,10923.18,,0.0,,10923.18,7987.0
34900,OTROS PRECIOS PÚBLICOS,1000.0,,0.0,,1000.0,30.05
34902,EMISORA MUNICIPAL,3000.0,,0.0,,3000.0,4995.5
34906,ACTIVIDADES DE JUVENTUD Y MAYORES,14250.0,,4830.0,,19080.0,10163.0
34907,ACTIVIDADES Y SERV. PRESTADOS CDTCA,4360.37,,0.0,,4360.37,4980.0
34910,CELEBRACIÓN DE MATRIMONIOS CIVILES,2000.0,,0.0,,2000.0,3300.0
36000,VENTAS DE ENERGÍA ACTIVA,60000.0,,0.0,,60000.0,72274.13
36001,VENTA DE AGUA DESALADA,3325000.0,,0.0,,3325000.0,3699187.1
36002,VENTA DE AGUA DEPURADA,1710000.0,,0.0,,1710000.0,1616462.93
36003,VENTAS DE RESIDUOS,218621.12,,0.0,,218621.12,263083.81
36004,Ingresos transporte recogida selectiva,153972.98,,0.0,,153972.98,91468.93
39100,MULTAS POR INFRACCIONES URBANISTICAS,16000.0,,0.0,,16000.0,27000.0
39110,MULTAS POR INFRACCIONES TRIBUTARIAS Y ANÁLOGAS,40000.0,,0.0,,40000.0,260410.0
39120,MULTAS POR LA INFRAC.DE LA ORDENANZA DE CIRCULACIO,180887.52,,0.0,,180887.52,252652.05
39190,OTRAS MULTAS Y SANCIONES,40000.0,,0.0,,40000.0,114216.0
39200,RECARGO DECLAR. EXTEMPORÁNEA,0.0,,0.0,,0.0,11071.94
39210,RECARGO EJECUTIVO,32692.5,,0.0,,32692.5,42291.49
39211,RECARGO DE APREMIO,472175.68,,0.0,,472175.68,458714.7
39300,INTERESES DE DEMORA,419284.14,,0.0,,419284.14,305979.38
39710,OTROS INGRESOS POR APROVECHAMIENTOS URBANÍSTICOS,0.0,,779169.94,,779169.94,510952.05
39901,RECURSOS EVENTUALES,15000.0,,0.0,,15000.0,30047.22
39902,INGRESOS DERIVADOS DE LAS PUBLICACIONES,5115.0,,0.0,,5115.0,8157.36
39903,INTERESES DE DEMORA ADMINISTRACIONES PÚBLICAS,0.0,,0.0,,0.0,0.58
39904,COSTAS,47821.21,,0.0,,47821.21,33808.04
42000,PARTICIPACIÓN EN TRIBUTOS DEL ESTADO,8316571.92,,0.0,,8316571.92,9130354.26
42100,DEL SERVICIO PÚBLICO DE EMPLEO ESTATAL,0.0,,31211.12,,31211.12,28838.86
45000,PARTICIPACIÓN EN TRIBUTOS DE LA COMUNIDAD AUTÓNOMA,4471045.55,,465804.08,,4936849.63,2742799.12
45002,TRANSFERENCIAS CC.AA.MATERIA SER.SOC.Y POL.IGUALD,0.0,,83963.74,,83963.74,64657.6
45003,Plan concertado de prestaciones básicas,0.0,,131455.68,,131455.68,131455.68
45080,OTRAS SUBVENCIONES CORRIENTES DE LA ADMINISTRACIÓN DE LA CC.AA,0.0,,0.0,,0.0,3660.0
45100,SERVICIO CANARIO DE EMPLEO,0.0,,2215614.0,,2215614.0,1320518.92
46100,REGIMEN ECONOMICO Y FISCAL DE CANARIAS,6823113.18,,0.0,,6823113.18,8085230.29
46101,"DE DIPUTACIONES,CONSEJOS O CABILDOS",0.0,,119032.0,,119032.0,872070.19
46102,INGRESOS POR EL IMPUESTO GENERAL TRÁFICO DE EMPRESAS,401632.0,,0.0,,401632.0,443904.0
46601,FEDERACIÓN  CANARIA DE MUNICIPIOS,0.0,,9537.15,,9537.15,0.0
47000,DE EMPRESAS PRIVADAS,0.0,,0.0,,0.0,4700.0
48000,DE FAMILIAS E INSTITUCIONES SIN FINES DE LUCRO,0.0,,9537.15,,9537.15,9343.08
52000,INTERESES DE DEPÓSITOS EN CAJAS Y BANCOS,10000.0,,0.0,,10000.0,43.96
55000,CONCESIONES ADMTRATIVAS CON CONTRAPREST.PERIODICA,489292.03,,0.0,,489292.03,617046.89
